,fp.independence.betterScore.vec,fp.independence.warseScore.vec,fp.dependence.betterScore.vec,fp.dependence.warseScore.vec
10,80,3.07692307692308,16.9230769230769,0
15,61.8421052631579,13.1578947368421,25,0
20,64.9122807017544,7.01754385964912,28.0701754385965,0
25,45.5882352941176,2.94117647058824,51.4705882352941,0
30,35,6.25,58.75,0
35,43.2835820895522,4.47761194029851,52.2388059701493,0
40,25.6756756756757,4.05405405405405,70.2702702702703,0
45,27.8481012658228,3.79746835443038,68.3544303797468,0
50,25,5.88235294117647,69.1176470588235,0
55,25.3731343283582,5.97014925373134,68.6567164179104,0
60,18.3333333333333,5,76.6666666666667,0
65,21.1267605633803,5.63380281690141,73.2394366197183,0
70,24.390243902439,4.8780487804878,70.7317073170732,0
75,13.8461538461538,3.07692307692308,83.0769230769231,0
80,17.8082191780822,5.47945205479452,76.7123287671233,0
85,11.1111111111111,8.33333333333333,80.5555555555556,0
90,12,5.33333333333333,82.6666666666667,0
95,15.625,9.375,75,0
100,5.79710144927536,5.79710144927536,88.4057971014493,0
105,2.5,5,92.5,0
110,12.6984126984127,4.76190476190476,82.5396825396825,0
115,4.47761194029851,1.49253731343284,94.0298507462687,0
120,7.8125,4.6875,85.9375,1.5625
125,9.83606557377049,3.27868852459016,86.8852459016394,0
130,6.94444444444444,8.33333333333333,84.7222222222222,0
135,4.76190476190476,4.76190476190476,90.4761904761905,0
140,8.62068965517241,6.89655172413793,84.4827586206897,0
145,9.61538461538461,9.61538461538461,80.7692307692308,0
150,2.08333333333333,4.16666666666667,93.75,0
155,7.84313725490196,5.88235294117647,86.2745098039216,0
160,6.55737704918033,8.19672131147541,85.2459016393443,0
165,7.01754385964912,7.01754385964912,85.9649122807018,0
170,5.66037735849057,3.77358490566038,88.6792452830189,1.88679245283019
175,3.63636363636364,3.63636363636364,92.7272727272727,0
180,0,6,94,0
185,2,8,90,0
190,11.1111111111111,4.44444444444444,84.4444444444444,0
195,6,14,78,2
200,6.25,4.16666666666667,89.5833333333333,0
205,4.76190476190476,3.17460317460317,92.0634920634921,0
210,4.91803278688525,0,95.0819672131148,0
215,4.25531914893617,8.51063829787234,85.1063829787234,2.12765957446809
220,6,2,92,0
225,9.25925925925926,3.7037037037037,85.1851851851852,1.85185185185185
230,4.76190476190476,4.76190476190476,90.4761904761905,0
235,0,2.27272727272727,97.7272727272727,0
240,8.16326530612245,2.04081632653061,89.7959183673469,0
245,4,0,92,4
250,0,7.14285714285714,92.8571428571429,0
255,6.97674418604651,6.97674418604651,83.7209302325581,2.32558139534884
260,6.97674418604651,2.32558139534884,88.3720930232558,2.32558139534884
265,5,5,90,0
270,5.08474576271186,5.08474576271186,89.8305084745763,0
275,2.85714285714286,0,97.1428571428571,0
280,6.52173913043478,2.17391304347826,91.304347826087,0
285,2.56410256410256,2.56410256410256,92.3076923076923,2.56410256410256
290,2.5,0,95,2.5
295,0,0,97.7777777777778,2.22222222222222
300,2.77777777777778,2.77777777777778,94.4444444444444,0
305,0,0,100,0
310,10.5263157894737,0,89.4736842105263,0
315,2.5,0,95,2.5
320,4.54545454545455,2.27272727272727,90.9090909090909,2.27272727272727
325,2.85714285714286,2.85714285714286,91.4285714285714,2.85714285714286
330,3.125,3.125,90.625,3.125
335,2.7027027027027,5.40540540540541,89.1891891891892,2.7027027027027
340,7.69230769230769,0,92.3076923076923,0
345,6.81818181818182,0,88.6363636363636,4.54545454545455
350,4.8780487804878,2.4390243902439,92.6829268292683,0
355,5.71428571428571,0,94.2857142857143,0
360,0,4.65116279069767,95.3488372093023,0
365,7.89473684210526,2.63157894736842,89.4736842105263,0
370,3.2258064516129,0,96.7741935483871,0
375,3.125,3.125,93.75,0
380,3.2258064516129,3.2258064516129,93.5483870967742,0
385,0,2.94117647058824,97.0588235294118,0
390,0,4.8780487804878,95.1219512195122,0
395,2.17391304347826,6.52173913043478,89.1304347826087,2.17391304347826
400,3.84615384615385,3.84615384615385,88.4615384615385,3.84615384615385
405,0,0,97.4358974358974,2.56410256410256
410,5.88235294117647,5.88235294117647,88.2352941176471,0
415,0,4.8780487804878,95.1219512195122,0
420,0,0,96.969696969697,3.03030303030303
425,2.85714285714286,2.85714285714286,91.4285714285714,2.85714285714286
430,6.89655172413793,3.44827586206897,89.6551724137931,0
435,0,0,96.7741935483871,3.2258064516129
440,0,3.7037037037037,92.5925925925926,3.7037037037037
445,7.5,2.5,87.5,2.5
450,2.94117647058824,0,97.0588235294118,0
455,0,0,100,0
460,7.31707317073171,0,92.6829268292683,0
465,3.57142857142857,3.57142857142857,92.8571428571429,0
470,0,2.56410256410256,94.8717948717949,2.56410256410256
475,2.77777777777778,0,97.2222222222222,0
480,0,0,96.6666666666667,3.33333333333333
485,4.16666666666667,4.16666666666667,91.6666666666667,0
490,2.94117647058824,2.94117647058824,94.1176470588235,0
495,2.94117647058824,0,97.0588235294118,0
500,7.40740740740741,3.7037037037037,85.1851851851852,3.7037037037037
